dataset,intent,count_mean,recall_mean,recall_std
test,exfiltration,56.0,0.9642857142857143,0.0
test,privilege_misuse,16.0,0.375,0.33071891388307384
test,recon,70.0,0.41904761904761906,0.054084841388574015
test,tamper_like,36.0,0.8611111111111112,0.02777777777777775
val,exfiltration,56.0,0.9464285714285715,0.017857142857142835
val,privilege_misuse,16.0,0.5416666666666666,0.15728821740147397
val,recon,70.0,0.8666666666666667,0.059476171413318055
val,tamper_like,36.0,0.8240740740740741,0.03207501495497922
