dataset,intent,count_mean,recall_mean,recall_std
test,exfiltration,56.0,0.9702380952380952,0.0206196524710581
test,privilege_misuse,16.0,0.6666666666666666,0.2602082499332666
test,recon,70.0,0.8095238095238096,0.03299144395369292
test,tamper_like,36.0,0.9166666666666666,0.05555555555555554
val,exfiltration,56.0,0.9285714285714285,0.017857142857142835
val,privilege_misuse,16.0,0.6875,0.22534695471649932
val,recon,70.0,0.8285714285714286,0.028571428571428553
val,tamper_like,36.0,0.8611111111111112,0.07349309197401642
