n_neighbors,threshold,val_precision,val_recall,val_f1,val_pr_auc,val_alerts_per_1000,val_time_to_detect,test_precision,test_recall,test_f1,test_pr_auc,test_alerts_per_1000,test_time_to_detect
10,1.164303395224061,0.41643835616438357,0.8539325842696629,0.5598526703499079,0.35656914611186735,66.72760511882998,21.75,0.42191780821917807,0.8651685393258427,0.567219152854512,0.3420789918255665,66.72760511882998,5.0
15,1.2725286330699306,0.41643835616438357,0.8539325842696629,0.5598526703499079,0.33096484056620457,66.72760511882998,33.25,0.4297520661157025,0.8764044943820225,0.5767097966728281,0.34251878558543997,66.36197440585009,10.0
20,1.4229365836148746,0.37623762376237624,0.8539325842696629,0.5223367697594502,0.3036507231383567,73.85740402193784,24.5,0.34521158129175944,0.8707865168539326,0.4944178628389155,0.28411248015433893,82.08409506398537,6.5
30,1.4791404686698115,0.36626506024096384,0.8539325842696629,0.5126475548060708,0.2798799202614001,75.86837294332724,24.5,0.3118712273641851,0.8707865168539326,0.45925925925925926,0.2335488068698672,90.85923217550274,6.5
40,1.0430663164558291,0.3318777292576419,0.8539325842696629,0.4779874213836478,0.24593538180300384,83.72943327239487,45.0,0.3167701863354037,0.8595505617977528,0.4629349470499244,0.2343050824103591,88.29981718464352,44.0
